"Title,""Electricity, gas, steam and air conditioning supply"",""Electricity, gas, steam and air conditioning supply - 1"",""Gross Value Added - Monthly"""
206,65.5,68.2,89.1
207,66.7,65.5,89.8
208,67.1,66.7,89.8
209,71.6,67.1,90.1
210,75.1,71.6,90.2
211,79.6,75.1,90.7
212,81.9,79.6,90.6
213,80.7,81.9,91
214,83.4,80.7,91.2
215,85.8,83.4,91.2
216,91.5,85.8,91.6
217,96.9,91.5,91.3
218,98.7,96.9,91.6
219,95.6,98.7,91.8
220,93.5,95.6,92.3
221,93.6,93.5,92.1
222,95.9,93.6,92
223,95,95.9,92.3
224,96.2,95,92.3
225,98.1,96.2,92.6
226,99.9,98.1,93
227,96.3,99.9,93
228,91.7,96.3,93.1
229,100.3,91.7,93.1
230,98.5,100.3,93.4
231,102.3,98.5,93.7
232,107.5,102.3,94.2
233,97.8,107.5,94
234,97.5,97.8,94.2
235,95.1,97.5,94.6
236,94.8,95.1,94.6
237,93.1,94.8,94.9
238,93.5,93.1,95.1
239,95.8,93.5,95.3
240,93.2,95.8,95.4
241,92,93.2,95.8
242,90.1,92,95.9
243,84.7,90.1,96
244,88.5,84.7,96.2
245,90.8,88.5,96.5
246,90.4,90.8,96.6
247,91.5,90.4,96.7
248,91.8,91.5,97
249,92.1,91.8,97.5
250,88.7,92.1,97.5
251,91.3,88.7,97.8
252,95,91.3,97.4
253,87.5,95,97.4
254,92.8,87.5,97.4
255,93.6,92.8,97.9
256,88.7,93.6,97.7
257,83.4,88.7,98.1
258,85,83.4,98.3
259,87.3,85,98.5
260,86.7,87.3,98.7
261,86.7,86.7,98.8
262,87.3,86.7,98.7
263,86.9,87.3,99.1
264,86.4,86.9,99
265,90,86.4,99.3
266,87.3,90,99.7
267,89.5,87.3,99.7
268,95.3,89.5,99.3
269,99.1,95.3,99.6
270,102.7,99.1,99.9
271,101.1,102.7,100.3
272,99.4,101.1,100.3
273,103.8,99.4,100.7
274,108.9,103.8,100.5
275,112.4,108.9,100.3
276,110.5,112.4,100.4
277,106.9,110.5,100.7
278,107,106.9,100.2
279,108.2,107,93.1
280,100,108.2,73.7
281,102,100,76
282,108.5,102,82.8
283,112.5,108.5,88.9
284,114.1,112.5,90.8
285,114.5,114.1,91.8
286,110.9,114.5,92.3
287,110.5,110.9,90.7
288,113.6,110.5,92.3
289,117.4,113.6,89.6
290,118.7,117.4,90.2
291,116.5,118.7,92.2
292,119.9,116.5,95.1
293,127.8,119.9,96.3
294,120.4,127.8,97.3
295,114.7,120.4,97.2
296,110.3,114.7,98
297,108.3,110.3,98.6
298,102.9,108.3,98.7
299,108.9,102.9,99.7
300,109.7,108.9,99.8
301,112,109.7,100
302,112.3,112,99.9
303,110.5,112.3,100
304,111.9,110.5,100
305,112.5,111.9,100.8
306,111.5,112.5,100
307,110.9,111.5,100.4
308,110.2,110.9,100.4
309,110,110.2,99.7
310,106.7,110,100.4
311,106.7,106.7,100.5
312,110.7,106.7,100
313,108.6,110.7,100.5
314,106.4,108.6,100.5
315,109.2,106.4,100.3
316,110.2,109.2,100.5
317,107,110.2,100.4
318,107,107,101
