"""CDID"",""ECYR"""
2021 SEP,96.4
2021 OCT,95.2
2021 NOV,98
2021 DEC,98.4
2022 JAN,97.8
2022 FEB,97.3
2022 MAR,97.1
2022 APR,98.2
2022 MAY,98.4
2022 JUN,98.7
2022 JUL,100
2022 AUG,100.3
2022 SEP,99.6
2022 OCT,99.5
2022 NOV,99.2
2022 DEC,96.6
2023 JAN,98.8
2023 FEB,97.2
2023 MAR,97.4
2023 APR,97.9
2023 MAY,98.4
2023 JUN,98.7
